Text;Difficulty
Du haut de la Tour Eiffel, on peut voir les principaux monuments de Paris : la cathédrale Notre-Dame, la tour Montparnasse et l’arc de triomphe.;B1
On peut voir aussi le fleuve qui traverse la capitale : la Seine.;B1
La tour Eiffel est située sur le Champ-de-Mars. C’est un parc où les gens viennent se promener en famille et entre amis.;B1
Tout en haut de la tour Eiffel, il y a des antennes qui émettent les programmes de radio et de télévision.;B1
Il y a même des restaurants.;B1
Le corps humain comprend une tête, un tronc et quatre membres.;B1
La tête se compose du visage et du crâne qui est recouvert de cheveux.;B1
Le visage comprend une oreille de chaque côté, deux yeux surmontés par les sourcils et un nez au centre.;B1
Puis, viennent la bouche et le menton.;B1
Les dents se trouvent dans la bouche.;B1
Le tronc est relié à la tête par le cou.;B1
Il se compose du thorax et de l'abdomen encore appelé ventre. ;B1
Le ventre se trouve à la partie inférieure du tronc.;B1
La poitrine contient les deux poumons et le cœur.;B1
Il renferme le foie, l’estomac, les reins et les intestins.;B1
Ce sont des organes internes comme le cerveau qui est logé dans la tête.;B1
Le dos forme la partie arrière du tronc.;B1
Les membres sont au nombre de quatre : deux en haut et deux en bas.;B1
Un membre supérieur comprend un bras, un avant-bras et une main munie de cinq doigts.;B1
Le bras est relié au tronc par l’épaule et à l’avant-bras par le coude.;B1
Un membre inférieur comprend une cuisse, une jambe et un pied qui a cinq orteils.;B1
Les articulations sont en haut la hanche, au milieu le genou en en bas la cheville.;B1
Les vacances d'été en France durent 6 semaines et ont habituellement lieu entre Juillet et Septembre.;B1
En France, le début des vacances est souligné par les soldes d'été.;B1
Il faut savoir que les étudiants comme les travailleurs attendent ces vacances avec impatiente.;B1
La majorité des Français ne restent pas dans leur région durant les vacances d'été.;B1
Le sud du pays, l'Italie ou l'Espagne sont notamment les destinations touristiques les plus prisées des vacanciers en raison du climat perpétuellement froid dans le nord du pays.;B1
Toutefois, certaines personnes ne disposent pas d'un budget spécial pour financer ce type de détente.;B1
Ils préfèrent alors rester à la maison et profitent du temps libre pour visiter leurs familles ou se balader en ville.;B1
Pour aller au travail, Marc porte une veste, un pantalon, une chemise et une belle cravate rouge.;B1
Ses amis trouvent qu’il est très élégant avec son bracelet-montre doré et ses chaussures noires.;B1
Quand il doit rencontrer un client important, Marc n’hésite pas à s’habiller sobrement.;B1
Il met son plus beau costume et son chapeau.;B1
Il se sent plus à l’aise avec une tenue vestimentaire classique.;B1
Sa secrétaire Lili porte des lunettes.;B1
Elle adore mettre sa jupe à fleurs et un chemisier assorti lorsqu’il fait beau.;B1
En hiver, elle ne sort jamais sans son parapluie et son écharpe.;B1
Elle préfère aussi mettre un pull, des chaussettes en laine, des bottes et ses gants pour ne pas avoir froid aux doigts.;B1
Parfois, elle exhibe un joli collier en perles autour du cou qui lui donne une allure très attrayante.;B1
En été, lorsqu’il fait chaud, Lili et Marc vont à plage pendant le weekend.;B1
Ils mettent des lunettes de soleil, une belle casquette, un T-shirt, des shorts et des sandales.;B1
Ils aiment passer des journées ensemble au bord de la mer.;B1
 Je t’écris de France, où je vis avec ma famille depuis deux mois. ;B1
Nous allons bien, nous habitons dans une petite maison ancienne avec un très beau jardin.;B1
Nous avons de nouveaux amis et nous avons rencontré nos voisins lors d’une soirée festive la semaine dernière.;B1
J’ai fait de gros progrès en français, je le comprends et je sais le parler et l’écrire bien mieux maintenant.;B1
Je suis dentiste dans un nouveau cabinet depuis une semaine et j’aime mon travail.;B1
Mes collègues sont gentils et m'ont bien accueillie.;B1
Comme c'est proche de la maison, je peux y aller à pied, c’est très agréable.;B1
Mon mari a enfin trouvé une place d’architecte et travaille sur un important projet d’immeuble avec son équipe.;B1
Les enfants travaillent bien à l’école, même si ma fille a quelques difficultés en mathématiques.;B1
Mon fils a de bonnes notes en français, c’est sa matière préférée.;B1
Il aime beaucoup lire, surtout le soir avant de dormir.;B1
Ils se sont fait des copains et sont heureux de vivre en France.;B1
Ils parlent encore mieux le français que nous.;B1
Est-ce que ton mari et tes enfants vont bien ?;B1
Est-ce que tu travailles toujours à l’agence de voyages ?;B1
Donne-moi de tes nouvelles plus souvent !;B1
Je suis heureuse de vous revoir le mois prochain.;B1
Nous passerons les fêtes de Noël ensemble.;B1
La fête de Pâques en France est une fête de tradition catholique.;B1
Elle était selon la tradition précédée d’une période de jeûne de 40 jours appelée « Carême ».;B1
Durant cette période, les chrétiens ne mangeaient pas de viande, ni de plat très cher.;B1
Ils mangent plus simplement, en évitant les sucreries et les petits plaisirs.;B1
Il essaient également d’être plus raisonnés, plus généreux, moins centrés sur eux-mêmes.;B1
Le jour de Pâques est le jour de la résurrection du Christ.;B1
Pour célébrer cet évènement exceptionnel, tous se réunissent et se retrouvent autours d’un copieux repas contenant de l’agneau (symbole de l’innoncence Du Christ).;B1
Cette fête est encore traditionnellement fêtée en France, même si, comme pour Noël, elle a souvent perdu son aspect religieux.;B1
La majorité des Français fête Pâques et considère cette date comme une occasion de se retrouver en famille pour partager un bon repas.;B1
Les enfants aussi attendent avec impatience cette échéance : ils reçoivent en général des petits cadeaux et des chocolats.;B1
Ces chocolats, coulés en forme d’œufs, de lapins et de poules, sont souvent dispersés dans le jardin pour être retrouvés par les plus jeunes : c’est la « chasse aux œufs ».;B1
Dis donc, il fait beau en ce moment ! L'été n'est plus très loin.;B1
Oui, avec ce grand soleil, je commence à réfléchir à des projets de vacances.;B1
As-tu prévu quelque chose ?;B1
En juillet, ma famille et moi irons dans le Sud de la France.;B1
Nous visiterons les calanques de Marseille.;B1
C'est un endroit magnifique pour la baignade et l'escalade.;B1
Et en août, nous passerons peut-être quelques jours dans les montagnes.;B1
C'est une excellente idée !;B1
Vous ferez de la randonnée ?;B1
Les longues promenades dans la nature sont toujours agréables.;B1
Chaque été, nous nous rendons au chalet de mes grands-parents.;B1
Mais cette année, nous ne savons pas si nous pourrons y aller.;B1
J'achèterai tout de même des chaussures de randonnée au cas où.;B1
Et toi, qu'est-ce que tu as prévu pendant les vacances ?;B1
Ma mère viendra en France.;B1
Je lui ferai découvrir les villes de Lyon et de Montpellier.;B1
Elle goûtera à mes spécialités lyonnaises préférées, comme la tarte aux pralines.;B1
Miam ! Tu dois avoir hâte de la revoir !;B1
Ça oui, j'attends les vacances d'été avec impatience !;B1
Il n’y a pas eu de pluie depuis notre arrivée.;B1
Chez nous, c’est nuageux.;B1
Comment vont les enfants ?;B1
Ils ont chaud, donc ils profitent de la piscine du camping et de la mer pour se baigner.;B1
Tout se passe bien en France ?;B1
Oui, nous allons bien.;B1
Ton père est dans le jardin, il arrose les fleurs.;B1
Ta sœur est venue hier nous rendre visite.;B1
Sa grossesse se passe bien et elle travaille toujours dans le même restaurant.;B1
As-tu reçu notre carte postale ?;B1
Oui, je l’ai reçue hier.;B1
Elle est très jolie.;B1
Qu’allez-vous faire demain ?;B1
Nous allons nous promener en bord de mer et rendre visite à nos amis.;B1
Ensuite, nous dînerons au restaurant le soir avant de rentrer à la maison.;B1
Je n'ai qu'un jour pour visiter Paris.;B1
Je suis l'itinéraire donné par Pierre, un ami français.;B1
Je commence par un petit-déjeuner dans un café près de l'Arc de Triomphe avec des croissants délicieux.;B1
Après une marche sur les Champs-Élysées, je suis au pied de la Tour Eiffel.;B1
Il y a beaucoup d'attente pour les ascenseurs (pour monter les étages) mais je suis enfin au sommet et peux apprécier la vue sur Paris.;B1
L'après-midi je me promène aux Tuileries, paradis de verdure au cœur de la capitale.;B1
Je suis fatiguée et préfère prendre le métro pour aller à l'Île de la Cité.;B1
En visitant la cathédrale Notre-Dame de Paris je pense à Quasimodo, personnage du roman de Victor Hugo.;B1
Encore le métro, et je contemple la splendide façade de l'Opéra Garnier.;B1
C'est le quartier des beaux magasins et des produits de grandes marques.;B1
Je termine à Montmartre avec sa basilique et ses ruelles (petites rues).;B1
Après l'ambiance de luxe, ici c'est comme un tranquille village.;B1
Je vais choisir un restaurant pour savourer un bon repas après cette journée bien remplie !;B1
Je suis actuellement en vacances en Alsace.;B1
Il fait très froid ici.;B1
Hier il a même neigé.;B1
Aujourd'hui, avec ma famille (mes parents et mon frère) nous sommes allés au marché de Noël, c'était vraiment incroyable !;B1
Ma mère m'a exceptionnellement laissé boire du vin chaud même si je n'ai normalement pas le droit.;B1
Dans ma famille, on adore goûter les spécialités locales alors on a tout essayé, de la choucroute à la tarte flambée en passant par les kouglofs.;B1
Félix n'arrête pas de manger des bredele (des biscuits spéciaux d’ici). C'est vrai qu'ils sont très bons mais j'ai peur qu'il tombe malade.;B1
Demain, on prévoit de faire une promenade dans le quartier de la Petite France, il paraît que c'est le plus beau de Strasbourg !;B1
Je t'aurais bien envoyé une photo mais nous n'avons pas d'appareil.;B1
Mes parents ont insisté pour qu'on prenne nos chaussures de marche, ils veulent qu'on aille faire des randonnées dans les montagnes.;B1
J'espère que tu vas bien et que tes vacances au ski se passent bien aussi.;B1
On se reverra à la rentrée, j'ai hâte de te raconter le reste de mon voyage.;B1
Jason, touriste américain, est en vacances en Provence et vient à Marseille une journée.;B1
Il passe la matinée au Mucem qui est un musée récent et très connu.;B1
Son architecture moderne s'associe très bien avec la mer toute proche et l'ancien Fort Saint-Jean.;B1
Il fait une promenade sur le Vieux Port.;B1
Il y a des marchands de poissons et c'est le départ de nombreux bateaux.;B1
À midi il prend un sandwich dans un café.;B1
Il n'est pas fatigué et décide de marcher jusqu'à Notre Dame de la Garde.;B1
Cette basilique est célèbre à Marseille : les supporters de l'OM (club de foot de Marseille) viennent prier pour faire gagner leur équipe !;B1
Du haut de cette colline la vue sur Marseille est remarquable.;B1
Maintenant Jason veut voir les plages du Prado, longues de plusieurs kilomètres.;B1
Après un trajet en bus, il est heureux de retrouver la mer.;B1
Il enlève (ne garde pas) ses chaussures et marche longtemps au bord de l'eau.;B1
La plage est pleine de Marseillais et de touristes.;B1
C'est vraiment génial d'être en ville et d'avoir les monuments, les musées et la plage au même endroit !;B1
Jason a très faim et cherche un restaurant.;B1
Il finit sa visite devant une assiette de bouillabaisse.;B1
C'est une soupe de poissons, spécialité de Marseille.;B1
À mon avis, par rapport à la journée scolaire de la plupart des pays européens, on n'a pas de chance: on est obligés de se lever tôt et de travailler tard.;B1
En Allemagne, par exemple, on n'a pas cours l'après-midi, tandis que nous restons au collège jusqu'à 17 heures.;B1
En gros, je n'ai rien contre les uniformes.;B1
Mais je trouve qu'il vaut mieux permettre aux élèves de s'habiller comme ils veulent.;B1
Après tout, la façon dont ont s'habille fait partie de sa personnalité, non?;B1
Les devoirs sont, bien sûr, tout à fait nécessaires, si on veut faire des progrès dans ses études.;B1
On ne peut pas tout faire pendant les heures de cours, ce qui me pose un problème, en vue de la journée scolaire.;B1
J'aimerais bien avoir quelques week-ends libres aussi, mais avec tous ces devoirs, pas question!;B1
Même à l'âge de 11 ans, on doit subir des contrôles dans toutes les matières.;B1
Il y en a qui disent que c'est trop, mais pas moi.;B1
À mon avis, il faut s'entraîner et se préparer aussi bien que possible pour les épreuves de toutes sortes.;B1
J'ai intérêt à réussir à mes examens, sinon mes parents seront fâchés, car il n'y a rien de plus important pour eux.;B1
J'aimerais bien continuer mes études au lycée et puis à l'université, peut-être.;B1
En fait, je trouve que l'éducation est une bonne chose.;B1
L'année dernière, j'ai fait deux stages en entreprise.;B1
Je n'aimais pas tellement être vendeuse, mais je devais essayer de vendre des appareils photo de toutes sortes aux clients.;B1
Je vais tirer une balle dans chacun de tes membres si tu ne me donnes pas cette serviette.;B1
Vous allez piloter ce fichu avion et m'amener en Amérique du Sud.;B1
Pourquoi ne pas avoir donné la serviette alors que tu avais déjà les plans ?;B1
Parce que jamais je céderai devant la barbarie.;B1
Commençons tranquillement, voulez-vous ?;B1
Avant de corser les choses.;B1
Le canal a été construit il y a seulement quatre-vingts six ans.;B1
Le canal a un statut international.;B1
La compagnie qui le gère est à majorité anglaise.;B1
Il jouait au jokari avec un ami.;B1
L'élastique s'est distendu.;B1
Il l'a suivie, emporté par les flots.;B1
C'était un saint homme.;B1
L'Égypte est décidément bien meurtrie.;B1
Monsieur Jefferson avait découvert qu'un stock d'armes avait été dérobé.;B1
La vie, c'est comme une boîte de chocolats : on ne sait jamais sur quoi on va tomber.;B1
Un grand pouvoir implique de grandes responsabilités.;B1
Avant, je me disais que ma vie était une tragédie.;B1
Je me rends compte que c’est une comédie.;B1
Pour survivre à la guerre, il faut devenir la guerre.;B1
Ils habitent en face d'une serveuse, Penny, dont le rêve est de devenir actrice.;B1
Chaque partie est jouée en plusieurs manches.;B1
Le nombre de manche est variable selon le mode joué.;B1
Assis en terrasse dans le quartier touristique du Vieux Lyon, James sirote une limonade bien fraîche.;B2
Avec la chaleur estivale, cette journée d’exploration se révèle très fatigante !;B2
Ce matin, James s’est levé tôt, a loué un vélo et a parcouru les rues de Lyon.;B2
Il a longé les quais de la Saône, traversé la presqu’île, puis rejoint les quais du Rhône.;B2
n chemin, il a pu admirer la magnifique fontaine Bartholdi sur la grande Place des Terreaux.;B2
Il s’est également arrêté dans une boulangerie où il a longuement hésité entre un pain au chocolat, un croissant, et une brioche aux pralines, pâtisserie typiquement lyonnaise.;B2
Il a finalement opté pour cette dernière.;B2
James a ensuite rejoint le quartier moderne de la Confluence où le fleuve de la Saône se jette dans le Rhône.;B2
Il s’apprête maintenant à prendre le funiculaire qui l’emmènera au sommet de la colline de Fourvière.;B2
Là, il pourra visiter la fameuse basilique Notre Dame de Fourvière et contempler la splendide vue panoramique sur la ville de Lyon depuis le belvédère.;B2
En redescendant à pied, il s’arrêtera pour visiter le plus ancien théâtre gallo-romain de France, puis ira dîner dans un bouchon lyonnais, restaurant typique de la ville.;B2
Ah, le mois de décembre : ses illuminations, la couronne de l’Avent pour les catholiques, et le fameux calendrier empli de chocolat pour les enfants...;B2
Tous ces préparatifs rendent chaque année l’atmosphère festive et enjouée.;B2
Il n’y a qu’à observer la métamorphose des rues commerçantes pour en être convaincu.;B2
Finies les façades grises et ternes, terminée la morosité ambiante : les rues se parent de guirlandes scintillantes et les vitrines rivalisent d’imagination pour leur décoration.;B2
Les passants semblent moins pressés, et s’attardent plus facilement devant une devanture ou dans les rayons.;B2
Les dernières semaines avant Noël se déroulent dans une ambiance joyeuse et féérique.;B2
Le 24 décembre est le jour du réveillon.;B2
C’est l’occasion de fêter Noël en famille, en petit comité.;B2
Un sapin fraîchement coupé est installé dans la cuisine ou le salon, et décoré à l’aide de guirlandes colorées et de boules de noël.;B2
Les cadeaux seront déposés à son pied, le soir du 24 ou le 25 décembre au matin.;B2
Le repas est servi sur une table resplendissante, recouverte de bougies et de petits santons.;B2
C’est un jour de fête où l’on invite la famille plus éloignée à partager le repas de midi.;B2
C’est souvent un repas fastueux et long : il n’est pas rare de sortir de table vers 16 ou 17heures !;B2
Il rampait à plat ventre, galopait à quatre pattes, prenait son panier aux dents, se tordait, glissait, ondulait, serpentait d'un mort à l'autre, et vidait la giberne ou a cartouchière comme un singe ouvre une voix.;B2
Une deuxième balle fit étinceler le pavé à côté de lui.;B2
Le spectacle était épouvantable et charmant.;B2
Il avait l'air de s'amuser beaucoup.;B2
Cela lui paraissait invraisemblable.;B2
La locomotive, dirigée par le bras d'un mécanicien anglais et chauffée de houille anglaise, lançait sa fumée sur les plantations de cotonniers, de caféiers, de muscadiers, de girofliers, de poivriers rouges.;B2
La vapeur se contournait en spirales autour des groupes de palmiers, entre lesquels apparaissaient de pittoresques bungalows.;B2
Selon une étude, les élèves qui fréquentent des écoles où le téléphone est interdit ont de meilleurs résultats que les autres.;B2
Dernièrement, le ministre de l’éducation nationale a souhaité durcir l’interdiction des téléphones portables au collège qui existe déjà, mais qui, en pratique, n’est pas suffsamment appliquée parce qu’aucune sanction n’est prévue.;B2
On semble oublier que le personnel en milieu scolaire applique déjà cette mesure.;B2
Dans 97 % des collèges, l’utilisation du portable est interdite.;B2
"Cela fonctionne plus ou moins bien. Si un élève utilise son téléphone ou s’il sonne en cours,
l’appareil est confsqué et remis aux parents. ";B2
Elle ajoute qu’une interdiction totale est impossible à gérer.;B2
Quand on est sur le terrain, on s’en rend bien compte.;B2
De plus, les élèves ont des téléphones portables au collège car ils sont équipés par leurs parents qui veulent pouvoir joindre leur enfant après la classe, parce que ça les rassure.;B2
Selon le responsable d’une fédération de parents d’élèves, il y aurait autant de parents favorables à l’interdiction des téléphones portables qu’à leur autorisation.;B2
C’est pourquoi les modalités de cette interdiction doivent être discutées avec les familles.;B2
Ajouter de l’interdiction à l’interdiction ne dit pas comment on règle le problème.;B2
Tous les collèges ne sont pas équipés de casiers.;B2
Cela nécessite des équipements et suffsamment de place.;B2
L’autre élément est que certains enseignants développent un usage pédagogique des outils numériques.;B2
Un autre inconvénient à cette interdiction est le risque de priver les adolescents d’un apprentissage sur l’utilisation raisonnée d’Internet et des réseaux sociaux.;B2
Les enseignants font réféchir leurs élèves quant à leur utilisation du numérique, aux conséquences de ce qu’ils y écrivent, au droit à l’image et au respect de l’autre.;B2
Les outils numériques contribuent à la formation des élèves. On aurait préféré une réfexion collective sur la place du numérique à l’école plutôt que de découvrir que le sujet serait à nouveau relancé, sans dialogue.;B2
Le ministère devrait ouvrir le débat à tous les acteurs de l’école.;B2
Il faut arrêter de considérer que le vélo est un sujet mineur.;B2
L’appel est de la ministre des transports, lors d’un congrès sur les transports non polluants.;B2
À cette occasion, a été annoncé un grand plan vélo destiné à faire décoller enfn ce mode de transport, notamment grâce à « l’indemnité kilométrique ».;B2
Une indemnité versée aux cyclistes utilisant leur vélo pour se rendre au travail permet de réduire le coût d’achat du vélo et de participer aux frais d’entretien.;B2
L’employeur a en effet déjà obligation de prendre en charge la moitié de l’abonnement aux transports en commun de ses salariés.;B2
Il a également la possibilité de verser des indemnités kilométriques à ceux qui utilisent leur véhicule personnel pour se rendre au travail.;B2
Le problème, c’est que cette indemnité vélo n’est pas obligatoire et que « moins de 1 % des actifs français travaillent pour une structure qui la propose à ses employés ».;B2
Car là où elle est appliquée, cette indemnité a produit d’excellents résultats.;B2
Il n’y a là rien d’impossible, estime un député, 75 % des déplacements domicile-travail font aujourd’hui moins de 5 km et 70 % de ces trajets sont faits aujourd’hui en voiture.;B2
Pourtant, sur cette distance, le vélo est le mode de transport le plus performant en milieu urbain et semi-urbain.;B2
Le député invite également à prendre en considération les nombreux avantages du vélo sur l’écologie et ses bienfaits sur la santé des salariés qui sont plus en forme.;B2
Ainsi, ils gagnent en effcacité et l’employeur en profte.;B2
Une étude récente montre cependant que les cyclistes sont d’abord demandeurs de plus de sécurité et de stationnements vélo, aux abords des gares en particulier.;B2
La prise en compte de ces exigences nécessitera de construire de nouvelles infrastructures.;B2
Chaque année, plus de 300 millions de tonnes de plastique ne sont pas recyclées.;B2
Les conséquences sur la nature sont gravissimes, notamment sur les océans qui contiendraient selon la revue américaine Science plus de 110 millions de tonnes de déchets plastiques.;B2
Des îles entières se retrouvent recouvertes par les déchets, c’est le cas de l’île Henderson sur laquelle 17 millions de tonnes de déchets se seraient accumulés car l’île est située tout proche d’un tourbillon géant, le gyre du Sud Pacifique.;B2
Au delà du désagrément esthétique, ces déchets menacent la moitié des oiseaux marins et au moins 200 espèces de poissons, crustacées et mammifères vivant dans les océans parce qu’ils confondent ces déchets avec de la nourriture.;B2
Le temps est loin où les explorateurs découvraient des îles désertes avec des plages de sable fin.;B2
Les aventuriers d’aujourd’hui, s’ils découvrent une île, ont bien des chances qu’elle ne soit constituée que par des déchets plastiques.;B2
Ce n’est un secret pour personne, les Français sont de grands amateurs de fromage, ils en mangeraient 25 kilos par an et par personne.;B2
Certains disent qu’il en existe 300 sortes, d’autres qu’il y en aurait autant que de jours dans l’année, et d’autres encore prétendent qu’il faudrait plusieurs années en goûtant un fromage par jour pour faire le tour de toutes les variétés de fromage de l’Hexagone.;B2
Quel qu’en soit le nombre, on ne va pas en faire tout un fromage !;B2
Intéressons-nous plutôt à ces fromages qui font la fierté des terroirs français, ces 45 fromages dont l’appellation d’origine est protégée : les AOP.;B2
Comme son nom l’indique, le fromage AOP a une appellation d’origine protégée.;B2
Cela signifie que le camembert de Normandie, le symbole même de la France et « des fromages qui puent » ne peut pas être produit n’importe où !;B2
Si ce n’est pas en Normandie avec des vaches normandes, dans une boîte en bois et qu’il n’est pas moulé à la louche, alors il ne pourra pas se prévaloir de l’appellation d’origine protégée, ce ne sera qu’un vulgaire « camembert », une pâle copie, une contrefaçon, que dis-je une escroquerie !;B2
Ce ne sera pas un camembert de Normandie !;B2
Le sigle AOP est donc une garantie pour le consommateur que la production de lait, le caillage, l’égouttage, le salage, le moulage, le pressage, l’affinage et pour certains le lavage aient bien eu lieu dans la zone géographique de l’appellation.;B2
Les fromages AOP ne peuvent pas être délocalisés dans un autre pays ni même dans une autre région, pas même dans un village voisin dès lors qu’il n’appartient pas au terroir définit par l’appellation.;B2
Car les fromages ayant une appellation protégée appartiennent tous à une aire géographique et aux hommes qui l’occupent.;B2
Ces fromages sont en quelque sorte une garantie pour le bien-être des vaches et des chèvres, et pour la préservation du terroir.;B2
Prenons l’exemple du roquefort dont la fabrication remonte au moins au onzième siècle.;B2
Le lait collecté pour le roquefort est délimité dans un territoire d’un rayon de 100 kilomètres autour du village de Roquefort-sur-Soulzon situé dans l’Aveyron et nulle part ailleurs, sinon ce n’est plus du roquefort.;B2
D’ailleurs, l’affinage ne peut être fait que dans la commune de Roquefort-sur-Soulzon.;B2
En faisant le choix de manger un fromage AOP, on fait plus que manger du fromage : on goûte aussi son terroir, on participe au maintien des paysages et des traditions du fromage concerné.;B2
Difficile de faire un classement quand il s’agit de fromage car un fromage qui se vend bien n’est pas acheté que pour des raisons gustatives.;B2
Certes il doit répondre aux goûts du consommateur, mais aussi aux capacités de son porte-monnaie.;B2
On peut cependant imaginer les fromages qui pourraient figurer sur un plateau de fromage type.;B2
Il y aurait un camembert de Normandie, un morceau de Comté, de l’emmental, une part de Brie de Meaux, un peu de saint-nectaire, du cantal, du roquefort, un pont-l’évêque et un munster.;B2
Aujourd’hui le « greffe électronique » est à la disposition des entrepreneurs.;B2
Toute formalité de modification nécessite la réalisation de démarches avant la réalisation du dossier ainsi que la préparation des pièces justificatives et des documents à joindre au dossier.;B2
Vous pouvez également poser une question en ligne aux juristes du greffe qui vous répondent très rapidement.;B2
Une fois que vous vous êtes muni des pièces et documents demandés, vous les scannez et les enregistrez sous format numérique.;B2
Attention, vous devez certifier conformes la « version papier » des statuts de votre entreprise et celle de votre pièce d’identité, puis vous devez les signer de façon manuscrite avant de les scanner.;B2
Quand vous disposez de tous vos fichiers numérisés, vous pouvez effectuer la formalité en ligne en remplissant le formulaire interactif que vous validerez en fin de saisie.;B2
Vous joindrez à votre formulaire les pièces justificatives et documents sous format numérique.;B2
Vous procéderez au paiement sécurisé en ligne de l’opération.;B2
Enfin, vous signerez avec votre certificat électronique l’ensemble de ces éléments avant de cliquer sur « envoi ».;B2
Le délai est d’un maximum de 24 h comme l’impose le texte de loi de 1984.;B2
Toujours moins de papier, un accès toujours plus simple et rapide, tel est l’objectif global poursuivi au quotidien par les greffiers du tribunal de commerce de Paris, qui en plein accord avec la volonté ministérielle de faciliter la vie de l’entrepreneur, franchissent à nouveau une étape.;B2
L’accès par voie électronique de l’ensemble des formalités au registre du commerce et des sociétés.;B2
Nous sommes confrontés à la fin de notre modèle de grand groupe pharmaceutique et, comme nos concurrents, nous devons faire appel à la sous-traitance, tout en voulant garder le contrôle de toute la chaîne de notre activité.;B2
Aujourd’hui, plus aucun grand laboratoire de médicaments ne peut rester isolé.;B2
L’environnement pharmaceutique international se durcit.;B2
Nous assistons à la montée des médicaments génériques et il devient difficile de renouveler les produits.;B2
De plus, les agences nationales réglementaires de notre pays exigent de nous davantage de qualité, de sécurité et de fiabilité.;B2
Pour faire face à toutes ces transformations, nous vous proposons de nous recentrer sur nos compétences clés : la recherche de nouveaux médicaments et la commercialisation de tous nos produits pharmaceutiques.;B2
Pour notre entreprise, externaliser, c’est se concentrer sur nos activités principales, recherche et commercialisation, que nous maîtrisons parfaitement et faire réaliser par des intervenants extérieurs les activités de production et les essais cliniques.;B2
Tout d’abord, en externalisant la chaîne de production, nous diminuerons les coûts d’investissement pour la production et les frais de stockage des produits.;B2
En outre, nous espérons réduire les délais de commande en exigeant des sous-traitants une très grande réactivité.;B2
D’autre part, nous projetons d’externaliser en partie les essais cliniques pour deux raisons.;B2
Premièrement, les agences réglementaires nationales exigent un nombre de patients testés toujours plus grand.;B2
Ensuite, nous pouvons difficilement prévoir la quantité d’essais à gérer en parallèle.;B2
C’est pourquoi, si près de 50 % de nos essais sont sous-traités, nous gagnerons en souplesse et éviterons la baisse momentanée de nos effectifs.;B2
Nous savons tous que, quand la fabrication d’un médicament s’arrête pour des raisons sanitaires, nous devons licencier à chaque fois une partie de nos équipes.;B2
Bien entendu, nous sommes conscients des inconvénients que cela peut entraîner : en s’adressant à des sous-traitants, nous courons le risque de perdre une partie de nos secrets de fabrication et de voir surgir des problèmes dans la qualité du service rendu, tels que le non-respect du cahier des charges.;B2
Nous comprenons qu’une partie du personnel soit mécontente et méfiante mais nous prendrons toutes les mesures pour éviter que cela nuise au personnel et à notre image de marque.;B2
Nous nous engageons à vous tenir au courant des relations que nous aurons avec nos nouveaux partenaires.;B2
De toute façon, quels que soient le nombre et le type de sous-traitants, nous devons garder la maîtrise de toute la chaîne, puisque nous sommes responsables de nos médicaments.;B2
Il ne faut pas oublier que les contrôles se renforcent partout. En effet, l’industrie pharmaceutique est un métier où le contrôle de la qualité est essentiel.;B2
Nous devons rendre des comptes à l’ensemble des consommateurs et à notre politique nationale de santé.;B2
Paradoxalement, les obligations réglementaires très strictes facilitent le développement de la sous-traitance et renforceront par conséquent notre dynamisme économique.;B2
Depuis 2006, les particuliers français peuvent recycler des déchets d’équipements électriques et électroniques grâce à la reprise « un pour un ».;B2
Le concept est simple : chaque ménage peut déposer son appareil hors d’usage contre l’achat d’un neuf chez le même distributeur.;B2
Bientôt, ce sera au tour des entreprises de bénéficier d’une telle possibilité, qui devrait permettre de collecter et de recycler près de 70 000 tonnes de déchets professionnels.;B2
Mis en place par l’éco-organisme Récylum, ce dispositif intéresse en premier lieu les entreprises du bâtiment, mais aussi les industries et les collectivités territoriales, qui détiennent du matériel (alarmes incendie, caméras de surveillance...) qui ne fonctionne plus.;B2
À terme, plus de 300 déchetteries professionnelles collecteront gratuitement ces déchets qui seront ensuite transportés dans des centres de traitement où ils suivront le même circuit que les déchets ménagers : destruction, dépollution, puis réutilisation dans la fabrication de nouveaux équipements électroniques.;B2
Les 120 entreprises partenaires chargées du financement de la filière paieront près de 100 euros la tonne de déchets, en fonction des équipements mis sur le marché.;B2
C’est le principe de responsabilité élargie du producteur, initié par la directive européenne de 2003, qui leur impose de prendre en charge la fin de vie de leurs appareils.;B2
Un principe qui concerne déjà de nombreux produits tels que les emballages, les textiles et les pneus.;B2
Au-delà de la pression réglementaire, les entreprises qui s’engagent dans le recyclage des déchets professionnels s’inquiètent de la diminution des matières premières qui entrent dans la composition de ces appareils : des métaux rares, du cuivre, du fer...;B2
Les appareils pouvant être recyclés à 85% de leur poids environ, l’enjeu est important.;B2
Enfin, les producteurs s’inquiètent de la pollution que peuvent entraîner ces équipements qui contiennent parfois des substances dangereuses.;B2
En 2007, moins de 8% des déchets des entreprises ont fait l’objet d’une collecte sélective.;B2
Les producteurs doivent prendre en charge uniquement les déchets des appareils vendus à partir du 13 août 2005.;B2
Or, aujourd’hui, ces appareils commencent à peine à arriver en fin de vie. Beaucoup d’entreprises ont donc attendu ce moment pour se préparer réellement à les traiter.;B2
Il n’y a hélas aucune contestation possible : aujourd’hui encore, et partout dans le monde, les mères passent beaucoup plus de temps que les pères à prendre soin de leurs enfants.;B2
