sentence,difficulty,tokenized,wordnb,cognate,cognatenb,cognateratio,punctuation,token_nb,tokenratio
"Puis, plus grand, je découvrais les métiers de policier et d'avocat dans un film.",A2,"['grand', 'découvrir', 'métier', 'policier', 'avocat', 'film']",15,['policier'],1,0.06666666666666667,3,6,0.4
M. Cruchon vient de donner une réponse à notre question.,A2,"['monsieur', 'cruchon', 'venir', 'donner', 'réponse', 'question']",10,"['monsieur', 'venir', 'donner', 'question']",4,0.4,2,6,0.6
"Le mardi ressemble au lundi sauf qu'il n'y a pas d'activité après l'école, David rentre chez lui pour faire ses devoirs et se reposer",A2,"['mardi', 'ressemble', 'lundi', 'activité', 'après', 'école', 'david', 'rentre', 'faire', 'devoir', 'reposer']",30,"['mardi', 'lundi', 'david', 'faire']",4,0.13333333333333333,1,11,0.36666666666666664
"Souvent, je m'arrêtais pour parler avec les villageois.",A2,"['arrêter', 'villageois']",9,[],0,0.0,2,2,0.2222222222222222
Le livre est mis en vitrine par les libraires,A2,"['livre', 'mettre', 'vitrine', 'libraire']",9,"['vitrine', 'libraire']",2,0.2222222222222222,0,4,0.4444444444444444
C'est exactement l'une des meilleurs methodes d'apprentissage d'une langue etrangere.,A2,"['meilleur', 'methode', 'apprentissage', 'langue', 'etrangere']",14,[],0,0.0,1,5,0.35714285714285715
Après tout que lui offre-t-elle à part de l'ennui et une grosse boule d'angoisse au creux du ventre ?,A2,"['offrir', 'part', 'ennui', 'grosse', 'boule', 'angoisse', 'creux', 'ventre']",22,"['part', 'ennui', 'boule', 'ventre']",4,0.18181818181818182,3,8,0.36363636363636365
"Cher Lucas, Je t'écris de chez mes grands-parents à l'Aigle en Normandie où je passe de super vacances depuis maintenant une semaine.",A2,"['luca', 'écrire', 'grand', 'parent', 'aigle', 'normandie', 'passer', 'super', 'vacance', 'semaine']",25,"['luca', 'parent', 'aigle', 'passer', 'super', 'vacance']",6,0.24,3,10,0.4
La mère de Thom est fatiguée par la longue marche.,A2,"['mère', 'thom', 'fatiguer', 'long', 'marche']",10,"['thom', 'long']",2,0.2,1,5,0.5
"Ce dragon était le vieux serpent, le roi.",A2,"['dragon', 'vieux', 'serpent', 'roi']",8,"['dragon', 'serpent']",2,0.25,2,4,0.5
La digestion est plus difficile.,A2,"['digestion', 'difficile']",5,['digestion'],1,0.2,1,2,0.4
Anna s'amusait avec son frère quand il s'est cassé le bras gauche.,A2,"['anna', 'amuser', 'frère', 'casser', 'bras', 'gauche']",14,"['amuser', 'casser', 'gauche']",3,0.21428571428571427,1,6,0.42857142857142855
"Tu vas bien? Moi, je suis en vacances chez oncle Guillaume et tante Noémie.",A2,"['taire', 'vacance', 'oncle', 'guillaume', 'noémie']",14,"['taire', 'vacance']",2,0.14285714285714285,3,5,0.35714285714285715
C'est auprès de son grand-père que Grégoire trouvera le courage de lutter pour devenir quelqu'un et grandir tout simplement.,A2,"['auprès', 'grand-père', 'grégoir', 'trouver', 'courage', 'lutter', 'devenir', 'grandir', 'simplement']",22,"['trouver', 'courage', 'grandir']",3,0.13636363636363635,2,9,0.4090909090909091
J'ouvrais la porte et le chien courait à l'extérieur.,A2,"['ouvrais', 'porte', 'chien', 'courir', 'extérieur']",11,[],0,0.0,1,5,0.45454545454545453
C'est dans ce village de 1638 habitants que sont implantés les locaux de la nouvelle émission de téléréalité.,A2,"['village', '1638', 'habitant', 'implanter', 'local', 'émission', 'téléréalité']",19,"['village', 'habitant', 'local']",3,0.15789473684210525,1,7,0.3684210526315789
Les vents ne se calmèrent qu'au petit matin.,A2,"['vent', 'calmer', 'petit', 'matin']",9,"['calmer', 'matin']",2,0.2222222222222222,1,4,0.4444444444444444
Il a déjà inventé une machine à enlever la peau des bananes !,A2,"['déjà', 'inventer', 'machine', 'enlever', 'peau', 'banane']",12,['inventer'],1,0.08333333333333333,0,6,0.5
Il fit quelques pas et vit un sapin.,A2,"['faire', 'voir', 'sapin']",8,"['faire', 'sapin']",2,0.25,1,3,0.375
"À midi, c'est l'heure de déjeuner",A2,"['à', 'midi', 'heure', 'déjeuner']",9,['heure'],1,0.1111111111111111,1,4,0.4444444444444444
Celui-ci s'était cassé une aile en tombant d'une branche et il ne pouvait plus voler.,A2,"['casser', 'aile', 'tomber', 'branche', 'pouvoir', 'voler']",18,"['casser', 'voler']",2,0.1111111111111111,2,6,0.3333333333333333
"Chêne, mon aile est cassée, je ne peux pas voler.",A2,"['chêne', 'aile', 'casser', 'pouvoir', 'voler']",10,"['casser', 'voler']",2,0.2,3,5,0.5
"J'ai pris du poisson avec du riz, et mon frère a choisi un simple steak-frites",A2,"['prendre', 'poisson', 'riz', 'frère', 'choisir', 'simple', 'steak', 'frite']",17,"['prendre', 'riz', 'steak']",3,0.17647058823529413,2,8,0.47058823529411764
"Et effectivement dans les zones sinistrées, c'est l'heure du bilan",A2,"['effectivement', 'zone', 'sinistré', 'heure', 'bilan']",12,['heure'],1,0.08333333333333333,1,5,0.4166666666666667
Une consigne qui est suivie de près par les Japonais.,A2,"['consigne', 'japonais']",10,"['consigne', 'japonais']",2,0.2,1,2,0.2
Je vois mon père un week-end sur deux.,A2,"['vois', 'père', 'week', 'end']",9,[],0,0.0,2,4,0.4444444444444444
C'est somptueux.,A2,['somptueux'],3,[],0,0.0,1,1,0.3333333333333333
"Cette histoire parle d'un berger qui une fois dans la montage avec ses moutons, entend un petit bruit.",A2,"['histoire', 'berger', 'fois', 'montage', 'mouton', 'entendre', 'petit', 'bruit']",19,"['histoire', 'berger', 'montage', 'mouton', 'entendre']",5,0.2631578947368421,2,8,0.42105263157894735
La fée est réapparue une deuxième fois dans la forêt.,A2,"['fée', 'réapparaître', 'fois', 'forêt']",10,[],0,0.0,1,4,0.4
"Pourtant, comme d'habitude, elle est attentive et calme.",A2,"['pourtant', 'habitude', 'attentif', 'calme']",9,"['attentif', 'calme']",2,0.2222222222222222,3,4,0.4444444444444444
"Le 1er mai correspond à la fête du Travail, et rappelle la lutte des ouvriers pour réduire la journée de travail à huit heures.",A2,"['mai', 'correspondre', 'fête', 'travail', 'rappeler', 'lutte', 'ouvrier', 'réduire', 'journée', 'travail', 'heure']",24,"['mai', 'travail', 'travail', 'heure']",4,0.16666666666666666,2,11,0.4583333333333333
"Une semaine après le drame, il s'agit de limiter les dégâts",A2,"['semaine', 'drame', 'agir', 'limiter', 'dégât']",12,"['drame', 'limiter']",2,0.16666666666666666,1,5,0.4166666666666667
Nous vous remercions de votre compréhension et nous vous souhaitons une excellente journée.,A2,"['remercier', 'compréhension', 'souhaiter', 'excellent', 'journée']",13,"['remercier', 'souhaiter', 'excellent']",3,0.23076923076923078,1,5,0.38461538461538464
""" à ses proches",A2,[],3,[],0,0.0,1,0,0.0
Elle raconte leur quotidien à travers les enfants qu'elle a aussi aidés à faire leurs devoirs,A2,"['raconte', 'quotidien', 'travers', 'enfant', 'aider', 'faire', 'devoir']",17,"['enfant', 'aider', 'faire']",3,0.17647058823529413,0,7,0.4117647058823529
Mon chapeau s'est envolé quand je suis monté sur le voilier.,A2,"['chapeau', 'envolé', 'monter', 'voilier']",12,['chapeau'],1,0.08333333333333333,1,4,0.3333333333333333
Vous aimez l'aventure ?,A2,"['aimer', 'aventure']",4,['aimer'],1,0.25,1,2,0.5
Tout savoir avant d'adopter un chat.,A2,"['savoir', 'adopter', 'chat']",7,"['savoir', 'adopter', 'chat']",3,0.42857142857142855,1,3,0.42857142857142855
"Je te dis à très bientôt pour une rentrée des classes en pleine forme Le matin, Théo se lève à six heures",A2,"['bientôt', 'rentrée', 'classe', 'pleine', 'forme', 'matin', 'théo', 'lever', 'heure']",22,"['classe', 'matin', 'lever', 'heure']",4,0.18181818181818182,1,9,0.4090909090909091
Toutes ces fêtes ont le même but : remercier les mamans pour ce qu'elles font toute l'année !,A2,"['fête', 'but', 'remercier', 'maman', 'faire', 'année']",18,"['but', 'remercier', 'maman', 'faire']",4,0.2222222222222222,0,6,0.3333333333333333
C'est un gentil bouledogue qui aime les câlins.,A2,"['gentil', 'bouledogu', 'aime', 'câlin']",9,"['gentil', 'aime']",2,0.2222222222222222,1,4,0.4444444444444444
"la préposition ""malgré"" signifie contre la volonté de quelqu'un.",A2,"['préposition', 'signifier', 'volonté']",10,['signifier'],1,0.1,3,3,0.3
Tu as réussi ton examen de maths ?,A2,"['taire', 'réussi', 'examen', 'maths']",7,"['taire', 'examen', 'maths']",3,0.42857142857142855,1,4,0.5714285714285714
Elle allait vers le sud où il faisait moins froid.,A2,"['aller', 'sud', 'faire', 'froid']",10,"['aller', 'sud', 'faire', 'froid']",4,0.4,1,4,0.4
Il est possible de faire du vélo dans un parc autour d'une citadelle fortifiée.,A2,"['faire', 'vélo', 'parc', 'autour', 'citadelle', 'fortifier']",15,"['faire', 'parc', 'citadelle', 'fortifier']",4,0.26666666666666666,1,6,0.4
En attendant la retraite.,A2,"['attendre', 'retraite']",4,[],0,0.0,1,2,0.5
Jules fait beaucoup de bruit derrière la porte.,A2,"['jules', 'faire', 'bruit', 'porte']",8,['faire'],1,0.125,1,4,0.5
"Et en fait, le cheveu est capable d'absorber jusqu'à huit fois son poids en hydrocarbure",A2,"['cheveu', 'capable', 'absorber', 'fois', 'poids', 'hydrocarbure']",17,"['absorber', 'hydrocarbure']",2,0.11764705882352941,1,6,0.35294117647058826
"Il est intéressant de noter que jusqu'en 1995, le Festival de Deauville n'était pas compétitif",A2,"['intéressant', 'noter', '1995', 'festival', 'deauville', 'compétitif']",17,"['festival', 'deauville']",2,0.11764705882352941,1,6,0.35294117647058826
Merci beaucoup pour toutes le belles histoires que je trouve très utiles pour améliorer mon français.,A2,"['bel', 'histoire', 'trouve', 'utile', 'améliorer', 'français']",16,"['bel', 'histoire']",2,0.125,1,6,0.375
Nous passons de bons moments à jouer ensemble dans le jardin.,A2,"['passer', 'bon', 'moment', 'jouer', 'ensembl', 'jardin']",11,"['passer', 'moment', 'ensembl']",3,0.2727272727272727,1,6,0.5454545454545454
Comment les reconnaître?,A2,['reconnaître'],3,['reconnaître'],1,0.3333333333333333,1,1,0.3333333333333333
Son utopie était celle d'un monde sans argent.,A2,"['utopie', 'monde', 'argent']",9,['utopie'],1,0.1111111111111111,1,3,0.3333333333333333
"Pendant que la salle se remplit petit à petit, un étage en-dessous, c'est l'effervescence",A2,"['salle', 'remplir', 'petit', 'petit', 'étage', 'effervescence']",17,['effervescence'],1,0.058823529411764705,3,6,0.35294117647058826
Les parents de banlieue se sont organisés pour les devoirs des enfants.,A2,"['parent', 'banlieue', 'organiser', 'devoir', 'enfant']",12,"['parent', 'banlieue', 'organiser', 'enfant']",4,0.3333333333333333,1,5,0.4166666666666667
Les médecins disent souvent qu'on doit boire un verre de vin rouge après les repas.,A2,"['médecin', 'devoir', 'boire', 'verre', 'vin', 'rouge', 'repas']",16,"['boire', 'verre', 'repas']",3,0.1875,1,7,0.4375
Le temps s'achève.,A2,"['temps', 'achever']",4,['achever'],1,0.25,1,2,0.5
"Ce licol : Le terme licol"" n'est plus très utilisé.",A2,"['licol', 'terme', 'licol', 'utiliser']",10,[],0,0.0,2,4,0.4
Ça va durer encore longtemps ?,A2,"['aller', 'durer']",5,"['aller', 'durer']",2,0.4,1,2,0.4
Tu voudrais aller à la plage cet après-midi pour chercher des coquillages ?,A2,"['vouloir', 'aller', 'plage', 'après-midi', 'chercher', 'coquillage']",13,"['vouloir', 'aller', 'plage', 'chercher']",4,0.3076923076923077,2,6,0.46153846153846156
"En Ethiopie, la date de la Fête des mères n'est ni fixe, ni déterminée à l'avance : elle dépend directement de la fin de la période des pluies !",A2,"['ethiopie', 'date', 'fête', 'mère', 'fixe', 'déterminer', 'avance', 'dépendre', 'fin', 'période', 'pluie']",29,"['ethiopie', 'date', 'fin']",3,0.10344827586206896,2,11,0.3793103448275862
Mon frère Patrice est plus jeune que moi,A2,"['frère', 'patrice', 'jeune']",9,['patrice'],1,0.1111111111111111,0,3,0.3333333333333333
J'ai commencé ma journée en jouant du piano.,A2,"['commencer', 'journée', 'jouer', 'piano']",9,[],0,0.0,1,4,0.4444444444444444
"Le 8 juillet, j'ai supprimé l'eau et le lait.",A2,"['juillet', 'supprimer', 'eau', 'lait']",11,['eau'],1,0.09090909090909091,2,4,0.36363636363636365
Des enfants en choeur : Des petits pois avec de la salade !,A2,"['enfant', 'choeur', 'petit', 'pois', 'salade']",11,"['enfant', 'choeur', 'pois', 'salade']",4,0.36363636363636365,0,5,0.45454545454545453
Je me demande si les fourmis dorment.,A2,"['demande', 'fourmi', 'dorment']",7,"['fourmi', 'dorment']",2,0.2857142857142857,1,3,0.42857142857142855
"Pour nous reposer, nous avons bu un verre en terrasse",A2,"['reposer', 'bu', 'verre', 'terrasse']",10,"['verre', 'terrasse']",2,0.2,1,4,0.4
"Ensuite, il se sèche très vite les cheveux pour aller manger son petit déjeuner.",A2,"['ensuite', 'sécher', 'vite', 'cheveu', 'aller', 'manger', 'petit', 'déjeuner']",14,"['vite', 'aller', 'manger']",3,0.21428571428571427,2,8,0.5714285714285714
Elle est devenue au fil du temps une fête chrétienne.,A2,"['devenir', 'fil', 'temps', 'fête', 'chrétien']",10,['fil'],1,0.1,1,5,0.5
Quel est l'objet que le berger doit jeter au cou du dragon ?,A2,"['objet', 'berger', 'devoir', 'jeter', 'cou', 'dragon']",13,"['berger', 'cou', 'dragon']",3,0.23076923076923078,1,6,0.46153846153846156
"Aujourd'hui, elle fait encore partie des plus exposées",A2,"['faire', 'partie', 'exposé']",9,['faire'],1,0.1111111111111111,1,3,0.3333333333333333
Où étais-tu hier soir aux alentours de dix heure ?,A2,"['étai', 'hier', 'soir', 'al', 'alentours', 'heure']",10,"['soir', 'heure']",2,0.2,2,6,0.6
Mon petit frère a pris le bus public pour aller jouer au football avec ses copains.,A2,"['petit', 'frère', 'prendre', 'bus', 'public', 'aller', 'jouer', 'football', 'copain']",16,"['prendre', 'bus', 'aller', 'football']",4,0.25,1,9,0.5625
"Finalement, que réalise le berger une fois qu'il a repris ses esprits ?",A2,"['finalement', 'réalise', 'berger', 'fois', 'reprendre', 'esprit']",13,"['berger', 'esprit']",2,0.15384615384615385,2,6,0.46153846153846156
"Il donna cette feuille à l'alouette, et lui ordonna de la laisser tomber sur la tête du dragon.",A2,"['donner', 'feuille', 'alouette', 'ordonner', 'tomber', 'tête', 'dragon']",19,"['donner', 'alouette', 'dragon']",3,0.15789473684210525,2,7,0.3684210526315789
Les hommes la découpent et la placent au-dessus de la flamme.,A2,"['homme', 'découpent', 'placent', 'flamme']",12,"['homme', 'placent', 'flamme']",3,0.25,2,4,0.3333333333333333
"Une histoire très touchante, servie par la plume d'Anna Gavalda qui n'a pas son pareil pour dire simplement les émotions et les sentiments les plus forts.",A2,"['histoire', 'servir', 'plume', 'anna', 'gavalda', 'pareil', 'simplement', 'émotion', 'sentiment', 'fort']",28,"['histoire', 'servir', 'plume']",3,0.10714285714285714,2,10,0.35714285714285715
"Nous avons l'habitude d'acheter quinze pommes, ce sont elles qui les comptent et les mettent dans notre panier.",A2,"['habitude', 'acheter', 'pomme', 'comptent', 'mettre', 'panier']",20,"['pomme', 'panier']",2,0.1,2,6,0.3
"En fait, j'étais végétarien pendant longtemps, mais j'ai fini par changer de régime, parce qu'à mon avis, les plats végétariens ont un goût fade.",A2,"['végétarien', 'finir', 'changer', 'régime', 'avis', 'plat', 'végétarien', 'goût', 'fade']",27,"['finir', 'changer', 'avis', 'plat', 'fade']",5,0.18518518518518517,5,9,0.3333333333333333
Je ne suporte pas les plats gras.,A2,"['suporte', 'plat', 'gras']",7,"['suporte', 'plat']",2,0.2857142857142857,1,3,0.42857142857142855
Vous pleuriez beaucoup. Pourquoi ?,A2,['pleurer'],4,['pleurer'],1,0.25,2,1,0.25
Il fumait un paquet de cigarettes par jour avant d'arrêter.,A2,"['fumer', 'paquet', 'cigarette', 'jour', 'arrêter']",11,"['fumer', 'paquet', 'cigarette', 'jour']",4,0.36363636363636365,1,5,0.45454545454545453
N'oubliez pas votre appareil photo !,A2,"['oublier', 'appareil', 'photo']",6,['photo'],1,0.16666666666666666,0,3,0.5
"La Corse est une petite île au sud de la France, dans la mer Méditerranée.",A2,"['corse', 'petit', 'île', 'sud', 'france', 'mer', 'méditerranée']",15,"['corse', 'sud', 'france', 'mer']",4,0.26666666666666666,2,7,0.4666666666666667
Il vint l'embrasser avant de rejoindre la cuisine.,A2,"['vint', 'embrasser', 'rejoindre', 'cuisine']",9,"['embrasser', 'cuisine']",2,0.2222222222222222,1,4,0.4444444444444444
Il agite son petit nez rose quand il me voit Ma grand-mère fait des gâteaux tous les jours,A2,"['agite', 'petit', 'nez', 'rose', 'voir', 'grand-mère', 'faire', 'gâteau', 'jour']",19,"['agite', 'rose', 'faire', 'jour']",4,0.21052631578947367,1,9,0.47368421052631576
Cet homme a une belle allure.,A2,"['homme', 'bel', 'allur']",6,"['homme', 'bel']",2,0.3333333333333333,1,3,0.5
Le chemin est encore long pour que l'animé français soit à la hauteur de ses prestigieux concurrents.,A2,"['chemin', 'long', 'animé', 'français', 'hauteur', 'prestigieux', 'concurrent']",18,"['long', 'concurrent']",2,0.1111111111111111,1,7,0.3888888888888889
"Bonsoir, J'ai une réservation pour 21h au nom de Smith.",A2,"['bonsoir', 'réservation', '21h', 'nom', 'smith']",11,"['bonsoir', 'nom', 'smith']",3,0.2727272727272727,2,5,0.45454545454545453
"Elle aimait beaucoup le Congo, mais elle a dû renter en France au bout d'un an.",A2,"['aimer', 'congo', 'devoir', 'renter', 'france', 'bouillir', 'an']",17,"['aimer', 'congo', 'renter', 'france']",4,0.23529411764705882,2,7,0.4117647058823529
C'est même la première fois que nous voyons deux ouragans majeurs se produire au mois de novembre,A2,"['fois', 'voir', 'ouragan', 'majeur', 'produire', 'mois', 'novembre']",18,['ouragan'],1,0.05555555555555555,0,7,0.3888888888888889
"Nous passions les grandes vacances à Valras, dans le sud de la France",A2,"['passer', 'grand', 'vacance', 'valras', 'sud', 'france']",13,"['passer', 'vacance', 'sud', 'france']",4,0.3076923076923077,1,6,0.46153846153846156
"Au moment de payer, notre petit garçon est toujours volontaire",A2,"['moment', 'payer', 'petit', 'garçon', 'volontaire']",11,"['moment', 'payer']",2,0.18181818181818182,1,5,0.45454545454545453
Donne-moi la serviette !,A2,"['donne', 'serviette']",4,['serviette'],1,0.25,1,2,0.5
"Enseigner à apprendre, même par ceux qui ne réussissent pas.",A2,"['enseigner', 'apprendre', 'réussir']",10,[],0,0.0,2,3,0.3
"Et puis surtout, j'attendais ton arrivée",A2,"['attendre', 'arrivée']",7,[],0,0.0,1,2,0.2857142857142857
"Le lundi, David reste toute la journée à l'école. Souvent, le soir, il pratique une activité musicale : le piano.",A2,"['lundi', 'david', 'journée', 'école', 'soir', 'pratique', 'activité', 'musical', 'piano']",20,"['lundi', 'david', 'soir', 'musical']",4,0.2,5,9,0.45
"Nous avons assez mangé, nous ne voulons plus de gâteaux ni de sucreries.",A2,"['manger', 'vouloir', 'gâteau', 'sucrerie']",13,"['manger', 'vouloir']",2,0.15384615384615385,2,4,0.3076923076923077
"Enfin, Pâques n'a pas de date fixe, c'est un dimanche compris entre le 22 mars et le 25 avril",A2,"['pâque', 'date', 'fixe', 'dimanche', '22', 'mars', '25', 'avril']",22,"['date', 'dimanche']",2,0.09090909090909091,2,8,0.36363636363636365
La famille Chanel découvre la maison dans laquelle elle va passer sa première semaine de vacances.,A2,"['famille', 'chanel', 'découvrir', 'maison', 'aller', 'passer', 'semaine', 'vacance']",16,"['chanel', 'aller', 'passer', 'vacance']",4,0.25,1,8,0.5
"Une foule se forme à la sortie du théâtre et se lance dans une série de mises à sac de demeures appartenant à des représentants de l'autorité royale, avant d'être réprimée dans le sang par l'infanterie",A2,"['foule', 'forme', 'sortie', 'théâtre', 'lancer', 'série', 'mise', 'sac', 'demeure', 'appartenir', 'représentant', 'autorité', 'royal', 'réprimer', 'sang', 'infanterie']",39,"['foule', 'sortie', 'lancer', 'sac', 'demeure', 'royal', 'sang']",7,0.1794871794871795,1,16,0.41025641025641024
Je l'ai revu depuis noyé de carburant,A2,"['revoir', 'noyer', 'carburant']",8,['noyer'],1,0.125,0,3,0.375
"Nous nous installions dans la maison de vacances, puis nous prenions l'apéritif avec les voisins",A2,"['installer', 'maison', 'vacance', 'prendre', 'apéritif', 'voisin']",16,"['installer', 'vacance', 'prendre']",3,0.1875,1,6,0.375
Le nombre de manifestants varie d'une année à l'autre selon la popularité du gouvernement en place.,A2,"['nombre', 'manifestant', 'varie', 'année', 'popularité', 'gouvernement', 'place']",18,[],0,0.0,1,7,0.3888888888888889
"Tous les matins, il suit la même routine : il commence par se laver le visage avant de prendre une douche.",A2,"['matin', 'même', 'routine', 'commencer', 'laver', 'visage', 'prendre', 'douche']",21,"['matin', 'routine', 'laver', 'visage', 'prendre', 'douche']",6,0.2857142857142857,2,8,0.38095238095238093
"Aujourd'hui, c'est une tarte aux framboises avec de la confiture faite maison",A2,"['tarte', 'framboise', 'confiture', 'faite', 'maison']",14,"['tarte', 'framboise', 'confiture']",3,0.21428571428571427,1,5,0.35714285714285715
La poitrine désigne aussi les seins d'une femme.,A2,"['poitrine', 'désigne', 'femme']",9,[],0,0.0,1,3,0.3333333333333333
Le plus inquiétant c'est que la Scandinavie avait déjà battu des records de chaleur pendant l'été 2018,A2,"['inquiétant', 'scandinavie', 'déjà', 'battre', 'record', 'chaleur', '2018']",19,['chaleur'],1,0.05263157894736842,0,7,0.3684210526315789
C'est le plat préféré de Manon,A2,"['plat', 'préféré', 'manon']",9,"['plat', 'manon']",2,0.2222222222222222,0,3,0.3333333333333333
"A quelle saison, les serpents vont dormir dans la terre ?",A2,"['quell', 'saison', 'serpent', 'aller', 'dormir', 'terre']",10,"['quell', 'saison', 'serpent', 'aller', 'dormir']",5,0.5,2,6,0.6
C'est comme ça qu'est née l'association Éco Cocotte,A2,"['naître', 'association', 'éco', 'cocotte']",11,"['naître', 'association', 'cocotte']",3,0.2727272727272727,0,4,0.36363636363636365
"Chaque année, vous pouvez acheter du matériel professionnel à bas prix et, nouveauté de cette année, vous pouvez suivre une classe avec un chef !",A2,"['année', 'pouvoir', 'acheter', 'matériel', 'professionnel', 'prix', 'nouveauté', 'année', 'pouvoir', 'classe', 'chef']",24,['classe'],1,0.041666666666666664,3,11,0.4583333333333333
Mais le rocher était fermé.,A2,"['rocher', 'fermer']",5,[],0,0.0,1,2,0.4
Réponds-moi vite et fais ta réservation pour venir.,A2,"['réponds', 'vite', 'faire', 'réservation', 'venir']",9,"['vite', 'faire', 'venir']",3,0.3333333333333333,2,5,0.5555555555555556
Tu as aimé ce livre de poésies ?,A2,"['taire', 'aimé', 'livre', 'poésie']",7,['taire'],1,0.14285714285714285,1,4,0.5714285714285714
Je répare votre voiture.,A2,"['répare', 'voiture']",4,[],0,0.0,1,2,0.5
Le temps sera gris,A2,"['temps', 'gris']",4,['gris'],1,0.25,0,2,0.5
Je suis complétement en sécurité car j'ai une entière confiance en lui.,B1,"['complétement', 'sécurité', 'entier', 'confiance']",13,['entier'],1,0.07692307692307693,1,4,0.3076923076923077
Je peux proposer une note si vous voulez.,B1,"['pouvoir', 'proposer', 'note', 'vouloir']",8,"['proposer', 'note', 'vouloir']",3,0.375,1,4,0.5
Il fait un froid incroyable à Moscou mais la ville est superbe,B1,"['faire', 'froid', 'incroyable', 'moscou', 'ville', 'superbe']",12,"['faire', 'froid', 'incroyable', 'superbe']",4,0.3333333333333333,0,6,0.5
L'homme avait l'intention de sortir sa femme du trou.,B1,"['homme', 'intention', 'sortir', 'femme', 'trou']",11,"['homme', 'intention']",2,0.18181818181818182,1,5,0.45454545454545453
"Quand le berger revint à lui , il vit qu'il était sur la montagne, et au bout de quelques minutes il s'aperçut qu'il avait fait un mauvais rêve, car son chien était à côté de lui, les moutons autour de lui, et c'était en automne tout comme quand il s'était endormi quelques heures avant.",B1,"['berger', 'revenir', 'voir', 'montagne', 'bout', 'minute', 'apercevoir', 'faire', 'mauvais', 'rêve', 'chien', 'côté', 'mouton', 'autour', 'automne', 'endormir', 'heure']",58,"['berger', 'revenir', 'bout', 'minute', 'faire', 'mouton', 'heure']",7,0.1206896551724138,6,17,0.29310344827586204
Je passe par la Suisse.,B1,"['passer', 'suisse']",5,['passer'],1,0.2,1,2,0.4
"S'il était à l'origine destiné à surveiller le bétail, il est doux avec les enfants.",B1,"['origine', 'destiner', 'surveiller', 'bétail', 'doux', 'enfant']",17,"['origine', 'surveiller', 'enfant']",3,0.17647058823529413,2,6,0.35294117647058826
La femme faisait tout ce que son mari lui demandait.,B1,"['femme', 'faire', 'mari', 'demander']",10,"['faire', 'demander']",2,0.2,1,4,0.4
Je savais bien que j'étais assise depuis trop longtemps.,B1,"['savoir', 'asseoir']",10,"['savoir', 'asseoir']",2,0.2,1,2,0.2
"Une vieille dame : Ça m'a rappelé l'enfance, ça m'a rappelé beaucoup de choses, parce que moi j'allais en vacances dans une ferme",B1,"['vieux', 'dame', 'rappeler', 'enfance', 'rappeler', 'chose', 'aller', 'vacance', 'ferme']",26,"['aller', 'vacance']",2,0.07692307692307693,2,9,0.34615384615384615
Et la grande personne était bien contente de connaître un homme aussi raisonnable.,B1,"['grand', 'content', 'connaître', 'homme', 'raisonnable']",13,"['content', 'homme']",2,0.15384615384615385,1,5,0.38461538461538464
"Il ne change pas facilement d'avis, il est têtu.",B1,"['changer', 'facilement', 'avis', 'têtu']",10,"['changer', 'avis']",2,0.2,2,4,0.4
"Ça nous a donc coûté de l'argent, s'énerve-t-elle.",B1,"['coûté', 'argent', 'énerve']",12,[],0,0.0,4,3,0.25
Vous n'avez pas entendu des bruits suspects plus tôt dans la nuit ?,B1,"['entendre', 'bruit', 'suspect', 'tôt', 'nuit']",13,"['entendre', 'suspect']",2,0.15384615384615385,1,5,0.38461538461538464
Le robot a réussi à lancer un forage de dernière minute même si on ne sait pas encore s'il a pu ramener un échantillon de la surface de la comète.,B1,"['robot', 'réussir', 'lancer', 'forage', 'minute', 'savoir', 'pouvoir', 'ramener', 'échantillon', 'surface', 'comète']",31,"['robot', 'lancer', 'forage', 'minute', 'savoir', 'surface']",6,0.1935483870967742,1,11,0.3548387096774194
"Il se place sur la tête de l'animal et permet de tenir la bête, et ainsi la conduire ou encore l'attacher.",B1,"['placer', 'tête', 'animal', 'permettre', 'bête', 'conduire', 'attacher']",23,"['placer', 'animal', 'permettre', 'attacher']",4,0.17391304347826086,2,7,0.30434782608695654
N'essayez pas de tout comprendre dès la première écoute.,B1,"['essayer', 'comprendre', 'écoute']",10,['essayer'],1,0.1,1,3,0.3
"On m'a souvent demandé comment j'avais fait pour comprendre Coluche, et ce que je gardais comme souvenir de ce tournage.",B1,"['demander', 'faire', 'comprendre', 'coluche', 'garder', 'souvenir', 'tournage']",22,"['demander', 'faire', 'garder']",3,0.13636363636363635,2,7,0.3181818181818182
Le réalisateur m'a d'abord demandé de me mettre devant la caméra.,B1,"['réalisateur', 'demander', 'mettre', 'caméra']",13,['demander'],1,0.07692307692307693,1,4,0.3076923076923077
"Mais dans leur vie quotidienne, comme à l'école ou avec leurs copains, c'est clair, c'est le français qui l'emporte.",B1,"['vie', 'quotidienne', 'école', 'copain', 'clair', 'français', 'emporte']",23,"['vie', 'clair']",2,0.08695652173913043,4,7,0.30434782608695654
C'est une femme pleine de vertus.,B1,"['femme', 'pleine', 'vertus']",7,[],0,0.0,1,3,0.42857142857142855
"Quand il était à l'université, il a créé un group de rap avec son frère.",B1,"['université', 'créer', 'group', 'rap', 'frère']",16,['rap'],1,0.0625,2,5,0.3125
La science en fait partie.,B1,"['science', 'partie']",5,[],0,0.0,1,2,0.4
