,ngram,FR_term_frequency,EN_term_frequency,delta
4942,relax,7151,577404,570253
4943,intuitive,217652,577296,359644
4944,flattering,1279,577295,576016
4945,rack,10320,577276,566956
4946,ontario,366039,577276,211237
4947,shrub,2274,577188,574914
4948,vocational,24549,577106,552557
4949,spores,407584,576828,169244
4950,blend,6240,576821,570581
4951,memorials,6850,576711,569861
4952,perilous,1800,576667,574867
4953,owl,5844,576665,570821
4954,bonnet,1105550,576657,528893
4955,ted,38577,576630,538053
4956,pilots,24737,576612,551875
4957,unavoidable,4565,576435,571870
4958,sleeve,1692,576427,574735
4959,initiate,5550,576387,570837
4960,rubbing,1515,576372,574857
4961,tumors,18321,576096,557775
4962,frail,2182,576036,573854
4963,rosy,7648,575895,568247
4964,recognizes,6379,575871,569492
4965,lasts,12604,575813,563209
4966,omnes,369152,575756,206604
4967,sediments,421320,575619,154299
4968,situ,190370,575560,385190
4969,intends,6464,575555,569091
4970,confines,74026,575284,501258
4971,tossed,834,575273,574439
4972,corp.,2312,575171,572859
4973,sectional,7556,575106,567550
4974,interactive,65454,575026,509572
4975,fischer,343125,575025,231900
4976,participated,7928,575011,567083
4977,bald,43275,574973,531698
4978,433,294084,574747,280663
4979,penance,3104,574739,571635
4980,okay,3685,574637,570952
4981,persecuted,1910,574578,572668
4982,shrewd,1136,574570,573434
4983,toilet,2428,574546,572118
4984,raids,101075,574418,473343
4985,esther,174723,574357,399634
4986,idleness,2164,574356,572192
4987,fountains,2551,574310,571759
4988,marker,25143,574226,549083
4989,noah,20574,574199,553625
4990,dusk,1922,574155,572233
4991,sayings,2671,574088,571417
4992,framing,6752,573991,567239
4993,fielding,43244,573929,530685
4994,giants,4059,573762,569703
4995,surpassed,2149,573759,571610
4996,immigrant,85165,573599,488434
4997,stamens,390,573578,573188
4998,imf,29889,573408,543519
4999,determinants,392459,573323,180864
5000,intermittent,132834,573307,440473
5001,textiles,563026,573232,10206
5002,411,274899,573164,298265
5003,sup,310401,573136,262735
5004,commandment,1295,572982,571687
5005,archaic,10781,572958,562177
5006,diego,314967,572906,257939
5007,reinforcements,1450,572898,571448
5008,rental,5313,572883,567570
5009,participant,559452,572881,13429
5010,ts,226656,572828,346172
5011,arched,1337,572742,571405
5012,johann,182157,572438,390281
5013,turk,29874,572379,542505
5014,pecuniary,6422,572329,565907
5015,goodly,1252,572227,570975
5016,poisoned,1947,572109,570162
5017,wasting,2517,572042,569525
5018,proximal,51939,572037,520098
5019,adrian,59608,571980,512372
5020,godfrey,21655,571831,550176
5021,incense,1761,571807,570046
5022,cellulose,288167,571700,283533
5023,dancers,3463,571650,568187
5024,precedence,11448,571635,560187
5025,ivan,282775,571573,288798
5026,1700,362793,571539,208746
5027,patriot,11381,571529,560148
5028,stalk,3619,571461,567842
5029,relies,524439,571154,46715
5030,bachelor,13415,571150,557735
5031,groove,6232,571133,564901
5032,lis,907219,571129,336090
5033,switched,3492,571083,567591
5034,445,297893,570949,273056
5035,intrigue,923157,570900,352257
5036,dent,999842,570876,428966
5037,adieu,1130487,570743,559744
5038,macro,300093,570737,270644
5039,snakes,5357,570678,565321
5040,spears,19260,570566,551306
5041,432,290371,570560,280189
5042,deference,319774,570538,250764
5043,realms,3550,570390,566840
5044,431,267698,570188,302490
5045,undermined,3194,570182,566988
5046,overt,5280,570177,564897
5047,fascination,343742,569810,226068
5048,spider,8475,569751,561276
5049,redeemed,2037,569748,567711
5050,parochial,4351,569691,565340
5051,auction,6694,569623,562929
5052,surmounted,1371,569559,568188
5053,puzzle,80429,569527,489098
5054,decomposed,2411,569451,567040
5055,cautiously,1357,569403,568046
5056,omnia,386285,569397,183112
5057,ulysses,16931,569308,552377
5058,contradict,4107,569303,565196
5059,ovate,1474,569272,567798
5060,downstairs,753,569267,568514
5061,bays,9485,569224,559739
5062,uneasiness,2412,569222,566810
5063,correlations,313636,569186,255550
5064,hawkins,35159,569186,534027
5065,respondent,32714,569106,536392
5066,glacial,153743,569039,415296
5067,pronoun,9061,568948,559887
5068,cato,16752,568905,552153
5069,1796,432290,568883,136593
5070,analysing,10443,568838,558395
5071,immensely,1797,568753,566956
5072,sanctity,2407,568522,566115
5073,proudly,1504,568522,567018
5074,retreated,975,568385,567410
5075,dispensation,40738,568311,527573
5076,treacherous,1429,568290,566861
5077,catalyst,7255,568259,561004
5078,tyre,5589,568162,562573
5079,kaiser,205368,568142,362774
5080,deferred,4772,567843,563071
5081,fist,140167,567796,427629
5082,montagu,58736,567737,509001
5083,confront,6265,567724,561459
5084,protracted,2993,567656,564663
5085,divorced,3997,567440,563443
5086,dagger,1687,567403,565716
5087,funded,4963,567325,562362
5088,macaulay,54865,567259,512394
5089,colored,11571,567230,555659
5090,fleming,55546,567145,511599
5091,428,276949,567116,290167
5092,rejoicing,976,566995,566019
5093,prophecies,2711,566989,564278
5094,wastes,7693,566966,559273
5095,reckless,2511,566950,564439
5096,1.6,185644,566923,381279
5097,incorporating,6298,566918,560620
5098,characterize,10556,566857,556301
5099,commences,196827,566697,369870
5100,renounce,2998,566664,563666
5101,unfamiliar,3505,566613,563108
5102,journalism,10219,566602,556383
5103,macedonia,10891,566571,555680
5104,prelates,1073,566526,565453
5105,materialism,7010,566462,559452
5106,litigation,10934,566371,555437
5107,clarify,7931,565953,558022
5108,angus,30543,565857,535314
5109,constituency,6690,565749,559059
5110,certificates,15214,565729,550515
5111,damaging,3403,565725,562322
5112,morrison,45340,565701,520361
5113,bonding,7519,565646,558127
5114,minimize,5520,565599,560079
5115,inhabit,3075,565449,562374
5116,thatcher,72929,565402,492473
5117,counselling,6589,565383,558794
5118,instinctive,226740,565381,338641
5119,recalling,4706,565229,560523
5120,1n,26825,565030,538205
5121,vines,17181,564985,547804
5122,1791,1381593,564982,816611
5123,1-3,118599,564976,446377
5124,tidal,17657,564916,547259
5125,750,579869,564881,14988
5126,evidences,139689,564846,425157
5127,filtered,4922,564819,559897
5128,bolton,29464,564764,535300
5129,ind.,14745,564730,549985
5130,awakening,6745,564630,557885
5131,pleas,5399,564545,559146
5132,ranking,8346,564540,556194
5133,hopeful,2253,564289,562036
5134,dismay,959,564255,563296
5135,vaguely,2166,564200,562034
5136,dispatched,2270,564077,561807
5137,chess,8757,563991,555234
5138,desolation,311826,563969,252143
5139,cunningham,46260,563938,517678
5140,hooker,49873,563923,514050
5141,raging,2107,563855,561748
5142,magna,149560,563827,414267
5143,tubular,5280,563825,558545
5144,solemnity,750,563787,563037
5145,ethnicity,22391,563785,541394
5146,inmates,3667,563596,559929
5147,wilkinson,42780,563575,520795
5148,insisting,3089,563386,560297
5149,appropriation,686243,563323,122920
5150,7.2,93423,563047,469624
5151,rustic,3307,562933,559626
5152,nightingale,15023,562914,547891
5153,426,265211,562876,297665
5154,regain,213075,562801,349726
5155,orchard,8039,562737,554698
5156,awhile,561,562702,562141
5157,wildly,920,562686,561766
5158,inferences,60169,562627,502458
5159,wittgenstein,219972,562575,342603
5160,bentley,35491,562345,526854
5161,ranked,3341,562313,558972
5162,bravery,1580,562281,560701
5163,heb,26773,562144,535371
5164,ev,152446,562109,409663
5165,assemblage,672661,562088,110573
5166,smoothly,2449,562082,559633
5167,dialogues,522509,562069,39560
5168,unacceptable,4536,562051,557515
5169,enamel,8160,562046,553886
5170,sinks,2440,561994,559554
5171,distillation,606540,561976,44564
5172,seriousness,3800,561961,558161
5173,conscientious,2322,561865,559543
5174,mutations,898345,561857,336488
5175,excused,1200,561751,560551
5176,chelsea,27894,561746,533852
5177,idols,2093,561707,559614
5178,gotten,2163,561540,559377
5179,whistle,2215,561475,559260
5180,interestingly,3999,561464,557465
5181,undisturbed,3621,561397,557776
5182,negation,1159048,561294,597754
5183,contingency,7345,561198,553853
5184,hooks,4580,561184,556604
5185,jefferson,138076,561124,423048
5186,chromosomes,258519,560914,302395
5187,sponsored,10427,560854,550427
5188,listing,23957,560602,536645
5189,deem,6942,560587,553645
5190,tactical,6602,560563,553961
5191,conceit,2590,560274,557684
5192,learner,5539,560267,554728
5193,2.0,219220,560095,340875
5194,indo,623926,560093,63833
5195,tha,28544,559981,531437
5196,sighs,1449,559979,558530
5197,incessant,285637,559910,274273
5198,amply,2954,559759,556805
5199,veteran,87576,559614,472038
5200,empowered,5849,559584,553735
5201,verify,7485,559474,551989
5202,envoy,22053,559305,537252
5203,archer,90658,559108,468450
5204,lordships,2983,559106,556123
5205,trader,13891,559095,545204
5206,handles,4075,559080,555005
5207,transnational,60207,558988,498781
5208,motionless,1566,558902,557336
5209,peking,77833,558877,481044
5210,1804,470892,558757,87865
5211,pledged,2440,558649,556209
5212,tc,121945,558574,436629
5213,n.y.,73678,558533,484855
5214,correctness,5464,558463,552999
5215,debated,4108,558349,554241
5216,query,7278,558307,551029
5217,malaria,131642,558199,426557
5218,encourages,207123,558182,351059
5219,dearly,2757,558071,555314
5220,maxims,3437,558012,554575
5221,wolves,2260,557961,555701
5222,eruption,594330,557941,36389
5223,consort,16977,557808,540831
5224,segregation,286903,557783,270880
5225,proletariat,930462,557766,372696
5226,specialised,7748,557707,549959
5227,stockings,1312,557677,556365
5228,biochemical,18055,557649,539594
5229,radioactive,62609,557555,494946
5230,strikingly,3520,557550,554030
5231,repealed,4080,557442,553362
5232,responsive,8937,557418,548481
5233,diluted,5141,557395,552254
5234,suez,553713,557381,3668
5235,branched,2334,557333,554999
5236,audio,194310,557316,363006
5237,impending,2542,557145,554603
5238,complication,618273,557098,61175
5239,outwards,2314,556938,554624
5240,seneca,22348,556915,534567
5241,trusting,1303,556876,555573
5242,maine,915028,556715,358313
5243,muller,602976,556647,46329
5244,controversies,8894,556508,547614
5245,proposing,5044,556409,551365
5246,vnto,780,556370,555590
5247,generality,4653,556353,551700
5248,repay,2793,556286,553493
5249,flushed,768,556211,555443
5250,sap,71389,556200,484811
5251,umbrella,4665,556155,551490
5252,ja,1082511,556058,526453
5253,susceptibility,11645,556024,544379
5254,dictatorship,8127,555928,547801
5255,tamen,367339,555782,188443
5256,stubborn,2865,555770,552905
5257,mountainous,3488,555589,552101
5258,437,277433,555503,278070
5259,handwriting,3146,555450,552304
5260,fascism,10141,555367,545226
5261,markers,13298,555343,542045
5262,repeats,3024,555342,552318
5263,dusty,1947,555286,553339
5264,fright,1622,555206,553584
5265,urn,9265,555158,545893
5266,deacon,9490,555136,545646
5267,degeneration,94276,555013,460737
5268,glories,2602,555009,552407
5269,fade,139049,554941,415892
5270,perceptible,374817,554932,180115
5271,fairness,7658,554923,547265
5272,endorsed,4404,554920,550516
5273,electrodes,415717,554881,139164
5274,diseased,4679,554711,550032
5275,lamented,1224,554706,553482
5276,disclose,3941,554650,550709
5277,republicans,2921,554522,551601
5278,disabilities,7607,554366,546759
5279,infamous,1651,554344,552693
5280,contractors,7967,554322,546355
5281,gin,75075,554180,479105
5282,detector,12462,554155,541693
5283,peacock,21027,554137,533110
5284,subscribed,2827,554065,551238
5285,amuse,255388,553944,298556
5286,awoke,642,553827,553185
5287,designers,20839,553634,532795
5288,canopy,5390,553582,548192
5289,facto,350995,553554,202559
5290,hubert,764229,553525,210704
5291,hunted,2006,553477,551471
5292,painfully,1290,553436,552146
5293,xxix,328544,553419,224875
5294,viruses,14979,553149,538170
5295,rainy,6020,553100,547080
5296,outdoor,5883,553061,547178
5297,accompaniment,1977,553036,551059
5298,remembers,2426,553020,550594
5299,rub,17199,552996,535797
5300,om,707041,552941,154100
5301,synonymous,4204,552874,548670
5302,periodicals,25136,552693,527557
5303,alderman,18484,552669,534185
5304,nash,49704,552657,502953
5305,sutherland,39181,552553,513372
5306,doings,1332,552436,551104
5307,2.6,157611,552177,394566
5308,tasted,899,552146,551247
5309,swinging,2397,552129,549732
5310,residing,8605,551957,543352
5311,synagogue,223012,551891,328879
5312,prognosis,8345,551886,543541
5313,carol,85768,551785,466017
5314,legendary,3466,551768,548302
5315,pius,95410,551752,456342
5316,partake,1473,551735,550262
5317,legions,428615,551693,123078
5318,liber,413453,551602,138149
5319,stall,4713,551464,546751
5320,josephus,13043,551143,538100
5321,yarn,3636,551054,547418
5322,attaining,3909,551026,547117
5323,tint,1038321,551021,487300
5324,preserves,99941,551014,451073
5325,censorship,7417,550862,543445
5326,uniting,4725,550816,546091
5327,patrol,12208,550784,538576
5328,intensified,4963,550776,545813
5329,burgess,34916,550774,515858
5330,inlet,12629,550487,537858
5331,blocking,6214,550483,544269
5332,afar,20503,550482,529979
5333,excise,42075,550427,508352
5334,lineage,9078,550370,541292
5335,listener,6563,550363,543800
5336,airy,28050,550294,522244
5337,jumping,3849,550093,546244
5338,lemma,7237,550061,542824
5339,rye,20247,549955,529708
5340,slew,640,549907,549267
5341,7.5,95096,549849,454753
5342,tensile,7221,549810,542589
5343,telecommunications,618565,549766,68799
5344,interrupt,2964,549720,546756
5345,shelves,3831,549673,545842
5346,acknowledges,3467,549658,546191
5347,oe,329605,549520,219915
5348,0.3,164122,549505,385383
5349,marshes,3297,549485,546188
5350,fu,377681,549439,171758
5351,rebellious,2088,549397,547309
5352,formulas,15387,549393,534006
5353,cowper,32162,549221,517059
5354,masks,7772,549005,541233
5355,mas,944217,548989,395228
5356,fiber,18988,548932,529944
5357,comb,16101,548909,532808
5358,rabbi,94997,548907,453910
5359,reginald,44645,548874,504229
5360,vinegar,2126,548822,546696
5361,jeremiah,7848,548791,540943
5362,lenses,6794,548774,541980
5363,coils,9653,548770,539117
5364,ants,16302,548495,532193
5365,corolla,15496,548291,532795
5366,airs,815862,548118,267744
5367,mutton,2670,548078,545408
5368,courteous,1250,548012,546762
5369,shipped,5200,547962,542762
5370,credible,150070,547922,397852
5371,meaningless,4231,547862,543631
5372,sustaining,4793,547859,543066
5373,dogma,16971,547796,530825
5374,clarence,62096,547732,485636
5375,ambrose,11076,547731,536655
5376,altars,2045,547709,545664
5377,discord,15117,547306,532189
5378,selfe,1875,547296,545421
5379,parasites,809780,547167,262613
5380,shocks,10331,546820,536489
5381,butterfly,10567,546671,536104
5382,drury,22367,546645,524278
5383,postwar,13171,546593,533422
5384,laud,52924,546557,493633
5385,levi,462452,546541,84089
5386,tearing,1714,546539,544825
5387,involuntary,4592,546459,541867
5388,iranian,18621,546355,527734
5389,generates,10173,546253,536080
5390,appreciable,784670,546234,238436
5391,affording,2249,546233,543984
5392,conductors,4951,546098,541147
5393,fitzgerald,44734,546045,501311
5394,gardiner,36671,546024,509353
5395,peerage,3023,545966,542943
5396,unsuitable,3123,545904,542781
5397,lipid,10334,545888,535554
5398,spoils,4344,545884,541540
5399,utterances,5421,545571,540150
5400,6.3,99636,545498,445862
5401,housed,3646,545413,541767
5402,1776,389803,545376,155573
5403,feat,2740,545357,542617
5404,anxieties,1843,545276,543433
5405,tariffs,13225,545276,532051
5406,cleft,5159,545218,540059
5407,learns,2938,545133,542195
5408,permissible,6312,545090,538778
5409,valentine,123669,545063,421394
5410,raven,20333,545043,524710
5411,triangles,313677,545031,231354
5412,concerto,133517,544823,411306
5413,wrongly,3455,544767,541312
5414,subjectivity,6984,544580,537596
5415,peters,100633,544549,443916
5416,gratified,906,544116,543210
5417,overlooking,1782,544039,542257
5418,aiming,7140,543970,536830
5419,princely,2042,543915,541873
5420,aboriginal,19408,543872,524464
5421,470,315196,543828,228632
5422,miseries,1266,543773,542507
5423,incision,600716,543693,57023
5424,stein,279977,543684,263707
5425,laird,24115,543487,519372
5426,recruits,3348,543440,540092
5427,prefers,3658,543440,539782
5428,piercing,5014,543361,538347
5429,covent,23756,543282,519526
5430,taxed,4053,543259,539206
5431,stat,132743,543259,410516
5432,despotism,4296,543192,538896
5433,gorgeous,1182,543076,541894
5434,eec,28337,543056,514719
5435,superiors,2206,542987,540781
5436,reservations,36905,542895,505990
5437,midland,25005,542814,517809
5438,causation,20293,542709,522416
5439,guitar,3720,542665,538945
5440,buenos,581480,542581,38899
5441,distribute,8241,542548,534307
5442,rouse,12861,542514,529653
5443,densities,12356,542410,530054
5444,slice,4555,542364,537809
5445,overnight,3169,542288,539119
5446,claimant,8016,542224,534208
5447,lag,38698,542222,503524
5448,rejoiced,490,542178,541688
5449,executives,48430,542106,493676
5450,wto,11632,542074,530442
5451,ineffective,5893,542059,536166
5452,emphatically,2076,541953,539877
5453,optimism,4215,541815,537600
5454,fights,2908,541793,538885
5455,directs,1140076,541766,598310
5456,optimistic,4351,541701,537350
5457,anchored,3481,541651,538170
5458,epithet,1578,541504,539926
5459,headings,9805,541373,531568
5460,iniquity,750,541314,540564
5461,collateral,73478,541291,467813
5462,449,255973,541291,285318
5463,crooked,2621,541233,538612
5464,inclinations,240361,541226,300865
5465,expects,3559,541190,537631
5466,multitudes,104159,541082,436923
5467,extravagance,131020,541019,409999
5468,factual,7697,540831,533134
5469,powerless,2710,540812,538102
5470,tommy,23395,540779,517384
5471,filthy,1134,540752,539618
5472,caravan,6741,540729,533988
5473,dissatisfied,2078,540726,538648
5474,chron,171991,540716,368725
5475,decorations,353025,540650,187625
5476,nisi,360135,540582,180447
5477,flemish,7643,540484,532841
5478,lesbian,6380,540437,534057
5479,reservation,77501,540407,462906
5480,beset,2637,540365,537728
5481,cs,202464,540331,337867
5482,inflamed,1225,540243,539018
5483,reminiscent,4630,540197,535567
5484,viral,34915,540192,505277
5485,calculus,14261,540141,525880
5486,differentiate,5745,540129,534384
5487,parable,7008,540074,533066
5488,climates,6834,540057,533223
5489,434,267130,539960,272830
5490,melville,78853,539950,461097
5491,timely,3995,539898,535903
5492,surg,87031,539838,452807
5493,protestantism,5690,539679,533989
5494,defender,10420,539629,529209
5495,cornish,8728,539622,530894
5496,batch,10033,539576,529543
5497,excursions,382649,539538,156889
5498,diligent,58149,539485,481336
5499,monumental,242197,539393,297196
5500,neolithic,12889,539351,526462
5501,deflection,8849,539318,530469
5502,premise,5458,539293,533835
5503,assigns,3202,539274,536072
5504,gaiety,1382,539265,537883
5505,dresden,32015,539237,507222
5506,accessed,2434,539225,536791
5507,senators,3491,539090,535599
5508,kisses,1372,539034,537662
5509,gardner,60557,538937,478380
5510,doc,626273,538912,87361
5511,flush,5359,538907,533548
5512,0.4,161800,538889,377089
5513,scheduled,8258,538815,530557
5514,annoyance,1327,538788,537461
5515,palate,5191,538622,533431
5516,sperm,8221,538616,530395
5517,sind,813935,538580,275355
5518,informing,4038,538480,534442
5519,justin,268970,538478,269508
5520,ned,36229,538434,502205
5521,carr,50862,538396,487534
5522,panama,434210,538339,104129
5523,441,258730,538265,279535
5524,entrepreneurs,1100370,538245,562125
5525,spoiled,1624,537985,536361
5526,robbers,2964,537749,534785
5527,capitalists,5151,537712,532561
5528,vividly,1860,537621,535761
5529,signifying,3146,537500,534354
5530,unanimously,8758,537311,528553
5531,rem,351641,537305,185664
5532,455,291403,537273,245870
5533,personage,3771,537262,533491
5534,resolving,6031,537167,531136
5535,condenser,137482,537108,399626
5536,bower,15124,537092,521968
5537,embroidered,1156,537078,535922
5538,evoked,8686,537020,528334
5539,polymers,8339,536966,528627
5540,transvaal,161715,536951,375236
5541,pigeon,239817,536947,297130
5542,steve,53362,536911,483549
5543,cortical,87143,536906,449763
5544,quixote,5205,536897,531692
5545,439,255274,536799,281525
5546,cometh,855,536734,535879
5547,romances,92634,536718,444084
5548,scrap,5858,536707,530849
5549,lindsay,42954,536605,493651
5550,iliad,5095,536511,531416
5551,newer,5158,536458,531300
5552,vastly,2338,536333,533995
5553,throng,949,536329,535380
5554,stratum,23710,536303,512593
5555,cornelius,131578,536257,404679
5556,rushes,7330,536127,528797
5557,conquerors,1910,536100,534190
5558,portable,87126,536086,448960
5559,reactor,24882,536069,511187
5560,financed,8828,536067,527239
5561,propensity,5240,536021,530781
5562,skeletal,15232,536015,520783
5563,8.1,82907,535844,452937
5564,rf,142533,535833,393300
5565,clumsy,1651,535810,534159
5566,hypocrisy,1855,535704,533849
5567,1811,540368,535666,4702
5568,steele,34243,535609,501366
5569,excesses,2841,535364,532523
5570,ancestral,88434,535313,446879
5571,divines,544326,535291,9035
5572,mademoiselle,1356716,535281,821435
5573,vp,60900,535267,474367
5574,phd,17782,535231,517449
5575,modeling,17562,535182,517620
5576,uncovered,3133,535110,531977
5577,caustic,1902,535017,533115
5578,integrate,8097,534903,526806
5579,pertinent,264501,534814,270313
5580,nicholson,50873,534791,483918
5581,flown,1685,534706,533021
5582,instructor,5435,534637,529202
5583,neville,39868,534592,494724
5584,pork,5420,534580,529160
5585,meta,238489,534371,295882
5586,civilians,4883,534342,529459
5587,springer,106283,534262,427979
5588,cracked,2245,534217,531972
5589,reprint,43665,534190,490525
5590,impracticable,2404,534095,531691
5591,aquatic,14664,534089,519425
5592,fossils,12469,534019,521550
5593,baghdad,25761,534016,508255
5594,vainly,955,533961,533006
5595,whisky,100928,533955,433027
5596,archibald,44403,533894,489491
5597,apprentice,3890,533836,529946
5598,favorite,294690,533766,239076
5599,packages,9901,533451,523550
5600,paces,5926,533442,527516
5601,kills,3174,533366,530192
5602,joyous,1201,533336,532135
5603,footnote,7386,533250,525864
5604,juliet,12303,533241,520938
5605,brood,5926,533213,527287
5606,sullivan,58089,533158,475069
5607,locomotive,403881,533113,129232
5608,fragrant,1296,533107,531811
5609,aug,306185,533086,226901
5610,demolished,1536,533075,531539
5611,ferguson,59915,533060,473145
5612,subordination,591015,533032,57983
5613,upheld,4129,533009,528880
5614,enquire,2497,532834,530337
5615,4-5,146780,532800,386020
5616,multiplying,3043,532754,529711
5617,underwent,4760,532745,527985
5618,boar,3127,532624,529497
5619,disciplinary,9042,532605,523563
5620,educ,29507,532552,503045
5621,warnings,2635,532401,529766
5622,pneumonia,6626,532339,525713
5623,443,281256,532314,251058
5624,ernst,343171,532306,189135
5625,offending,2246,532294,530048
5626,peas,4359,532293,527934
5627,gleam,1253,532198,530945
5628,resented,1176,532177,531001
5629,destroys,2828,532127,529299
5630,blossoms,1457,532043,530586
5631,incline,644179,532015,112164
5632,sinclair,64237,531931,467694
5633,carving,2602,531910,529308
5634,franks,83157,531795,448638
5635,confessions,463958,531778,67820
5636,lincolnshire,9685,531686,522001
5637,fern,15904,531637,515733
5638,furnaces,6749,531621,524872
5639,monarchs,1786,531591,529805
5640,relish,1240,531578,530338
5641,uterine,361902,531524,169622
5642,444,279153,531448,252295
5643,drawer,1818,531442,529624
5644,lingering,1314,531362,530048
5645,wildlife,15170,531176,516006
5646,cube,842877,531145,311732
5647,injure,571605,531112,40493
5648,dissociation,448094,531097,83003
5649,pauline,306150,531043,224893
5650,accumulate,4210,530955,526745
5651,preferably,5258,530874,525616
5652,albany,84025,530821,446796
5653,bequeathed,4825,530725,525900
5654,boon,13836,530635,516799
5655,undoubted,2039,530595,528556
5656,postponed,3615,530569,526954
5657,dots,68657,530554,461897
5658,"40,000",177393,530489,353096
5659,imperfectly,2441,530412,527971
5660,excepted,3917,530251,526334
5661,terrorist,4938,530154,525216
5662,dissolves,1205,530135,528930
5663,gibbon,85266,530127,444861
5664,pore,79025,530011,450986
5665,andrea,184343,530009,345666
5666,payne,49172,529923,480751
5667,bleak,3175,529820,526645
5668,uranium,439107,529818,90711
5669,reviewing,5652,529731,524079
5670,lf,102963,529698,426735
5671,attributable,5315,529603,524288
5672,amber,5960,529550,523590
5673,solubility,6360,529538,523178
5674,algorithms,7731,529536,521805
5675,ventricle,2676,529421,526745
5676,436,271339,529366,258027
5677,workforce,4848,529240,524392
5678,mee,89944,529222,439278
5679,chopped,1071,529190,528119
5680,transparency,14214,529190,514976
5681,1660,237131,529157,292026
5682,spindle,4350,528973,524623
5683,warehouse,6688,528966,522278
5684,compulsion,34493,528943,494450
5685,purest,1819,528775,526956
5686,ironic,3894,528732,524838
5687,mules,152218,528682,376464
5688,mesh,14153,528680,514527
5689,radar,147406,528594,381188
5690,weaver,20348,528547,508199
5691,admittedly,5147,528344,523197
5692,exodus,10654,528341,517687
5693,4000,254361,528323,273962
5694,automobile,1150298,528139,622159
5695,bamboo,3594,528109,524515
5696,unrest,5479,528082,522603
5697,garrick,32306,528023,495717
5698,gandhi,136091,527897,391806
5699,hampton,30153,527852,497699
5700,invent,20427,527735,507308
5701,futile,121440,527721,406281
5702,storey,8790,527627,518837
5703,frequented,1493,527589,526096
5704,liberality,1010,527540,526530
5705,florentine,104967,527144,422177
5706,appellation,691011,527143,163868
5707,undone,1586,527098,525512
5708,maggie,17504,527074,509570
5709,mischievous,1272,527021,525749
5710,yer,10616,526976,516360
5711,naturalist,10312,526965,516653
5712,kidneys,3967,526925,522958
5713,methodist,6753,526869,520116
5714,oj,132949,526723,393774
5715,empires,579464,526662,52802
5716,438,272039,526517,254478
5717,greenish,2075,526512,524437
5718,ghana,365799,526495,160696
5719,heather,6135,526395,520260
5720,oaks,23444,526375,502931
5721,extensions,184570,526256,341686
5722,fourier,384494,526059,141565
5723,discovers,3282,526049,522767
5724,mortimer,40695,525991,485296
5725,aging,24156,525864,501708
5726,unpopular,1757,525836,524079
5727,chemist,5568,525835,520267
5728,squadrons,3895,525777,521882
5729,plunge,2103,525748,523645
5730,honorary,8054,525683,517629
5731,appl,96032,525601,429569
5732,sh,167211,525581,358370
5733,remuneration,1390488,525541,864947
5734,vexed,1034,525510,524476
5735,compensated,6360,525415,519055
5736,boundless,1982,525351,523369
5737,preoccupation,1255345,525323,730022
5738,o'brien,47955,525304,477349
5739,1783,362013,525253,163240
5740,contour,593988,525220,68768
5741,asthma,10505,525164,514659
5742,ageing,14089,525150,511061
5743,hardship,4559,525090,520531
5744,intrusion,224242,525062,300820
5745,tel.,43702,525041,481339
5746,boldness,1159,525035,523876
5747,dictates,2921,524975,522054
5748,avowed,1631,524968,523337
5749,adolescents,586781,524894,61887
5750,ligament,320959,524850,203891
5751,dau,38955,524838,485883
5752,heretofore,5044,524816,519772
5753,lunar,10004,524814,514810
5754,thorax,417336,524738,107402
5755,clearness,1646,524649,523003
5756,cheque,510483,524647,14164
5757,mourn,1283,524591,523308
5758,447,268586,524459,255873
5759,powdered,2238,524456,522218
5760,myocardial,10054,524425,514371
5761,niger,979966,524377,455589
5762,commended,1093,524314,523221
5763,bathroom,1604,524305,522701
5764,electorate,4156,524294,520138
5765,neighborhood,10498,524257,513759
5766,highlight,5948,524239,518291
5767,grasses,407268,524085,116817
5768,sleeves,1101,523991,522890
5769,fowler,49105,523845,474740
5770,mortals,1261,523838,522577
5771,longman,40221,523808,483587
5772,descendant,1041767,523705,518062
5773,bourbon,1273354,523680,749674
5774,aviation,883724,523679,360045
5775,consecration,615883,523671,92212
5776,doll,46451,523604,477153
5777,partisan,783398,523520,259878
5778,wan,43954,523454,479500
5779,call'd,1280,523444,522164
5780,pertaining,9656,523433,513777
5781,exemplary,4765,523410,518645
5782,leases,4395,523410,519015
5783,forfeited,2515,523268,520753
5784,antecedent,187483,523223,335740
5785,confessor,5695,523200,517505
5786,ascribe,2143,523161,521018
5787,luxurious,1461,523119,521658
5788,baked,1998,523028,521030
5789,willie,17087,522914,505827
5790,linkage,16786,522889,506103
5791,culturally,6850,522882,516032
5792,flax,3984,522872,518888
5793,refugee,18304,522847,504543
5794,integrating,11012,522793,511781
5795,movies,8232,522768,514536
5796,faid,3095,522767,519672
5797,faulty,3374,522716,519342
5798,plumage,158084,522666,364582
5799,salient,5032,522618,517586
5800,ee,512378,522356,9978
5801,illusions,1157342,522343,634999
5802,cardiff,35037,522246,487209
5803,brittle,5256,522211,516955
5804,libel,7739,522211,514472
5805,ya,367984,522171,154187
5806,deposed,1102,522152,521050
5807,dialectic,9244,521876,512632
5808,spoon,3286,521791,518505
5809,warmer,3645,521756,518111
5810,imagining,3500,521616,518116
5811,boasted,942,521600,520658
5812,nostrils,1034,521525,520491
5813,dispense,1050086,521442,528644
5814,romeo,110729,521417,410688
5815,acknowledgements,5569,521350,515781
5816,contending,2705,521340,518635
5817,surveyor,9726,521316,511590
